gene_symbol,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,GeneID
NPHP4,232.8896967482317,-0.07841771194320005,0.08807122982713066,-0.8903896550226575,0.37325669521853455,0.5657704053339402,261734
KCNAB2,249.17146656238975,-0.4007380267132626,0.09544937837512682,-4.198435165688738,2.6876577759992065e-05,0.0016360470496909123,8514
CHD5,7.524887264561362,0.1159803909987054,0.16190144243046053,0.7163641611687369,0.4737665184109251,0.657280019902764,26038
LOC105376687,0.02045757981783868,-0.018738137872484628,2.9854442348750876,-0.006276499039436468,0.9949921112010571,,105376687
RPL22,10072.828238420032,0.24231040433836654,0.0834508771058303,2.9036292096855325,0.0036886472878348265,0.029968717137032617,6146
LOC107985733,42.31113313868885,0.20666734283921165,0.0702774049721752,2.94073668373266,0.0032743274527481936,0.027884872794350743,107985733
RNF207-AS1,18.67074954449209,0.19723287700765924,0.11913683937178546,1.6555154396211793,0.09781998717446236,0.2406574770970337,102724450
RNF207,671.6200041673073,0.14522099759177612,0.13244530485136086,1.0964601406954593,0.27287745747660763,0.46461367694063366,388591
ICMT,2100.9368606302196,-0.1048189457580732,0.07365706101693395,-1.4230671752430504,0.15471668279020356,0.32194632165159714,23463
ICMT-DT,1.3304822356158206,-0.021153249772175996,0.23582679477089857,-0.0896982456668081,0.928527010078939,0.9609628313704826,148645
HES3,0.016268410923922446,-0.12144380922319141,2.986490330946385,-0.04066439056064422,0.9675634503168785,,390992
GPR153,270.93248095555674,-0.175995361120585,0.11251269672259422,-1.564226671719642,0.11776434565590545,0.27020177886810315,387509
ACOT7,125.27897008372064,-0.02569477040905672,0.10113552660862091,-0.25406275391724187,0.7994470775013619,0.8858401154113654,11332
HES2,16.820213617671538,0.21747359050299744,0.2893707274075698,0.7515397028970817,0.45232791598685873,0.6383870170929029,54626
ESPN,153.40718314719575,0.0467798029829438,0.16883761442623876,0.27706979361154627,0.7817265153694514,0.8748921280863784,83715
